,job,company,location,job_type,job_function,industry,size,employees,description,salaries
0,Community Associate,"Prose
4.6
★","Brooklyn, NY",Full-time,Community Assistant,Consumer Services,51 to 200 Employees,"['Production Supervisor', 'Package Handler', 'Growth Marketing Analyst', 'Order Packer']","At Prose, we don't believe in ""one-size-fits-most."" We create custom hair care that's inclusive to all hair types, needs and preferences. Each of our hair care products is customized to a person's hair needs based on the results from an online consultation. The individual data is processed through a proprietary algorithm and made-to-order in the Prose lab using natural active ingredients. Marrying emerging technologies with the best in beauty, Prose is truly creating something special.

This role is part of the Customer Service Team, and is an opportunity to join a fast-growing startup with an energetic team working to transform the way people think about and shop for hair care. We're looking for talented problem solvers who lead with passion and who face any task with a positive mindset.

Role Focus
Help to cultivate best in class level of customer service by responding to all comments posted across paid & organic social posts (Facebook, Instagram, Twitter, TikTok, YouTube) and the Prose blog
Become an expert on our experience, our product, our ingredients, and our customer.
Troubleshoot customer issues quickly and efficiently, minimizing the number of steps a customer must take to resolve an issue
Tag & track customer feedback and requests, communicating all urgent customer needs to relevant departments
The Ideal Candidate
Is passionate about what we do & is excited about connecting with customers, with experience in customer service and/or community management
Has the ability to learn quickly and to work in a fast-paced, ever-changing environment
Possesses stellar problem solving and critical thinking skills; is comfortable working independently
Has superb attention to detail, strong organizational skills, and impeccable written & verbal communication skills
Stays calm under pressure and has a positive, can-do, team-focused mentality there is no task that is too small!
Understand & Embody our Prose Values

Intentional Inclusivity
We know the best ideas come from open minds and willingness to listen. While our products cater to the individual, an invitation into our process is always open to our community.
We value our differences and diverse backgrounds by communicating openly, managing with transparency and striving to understand one another's perspective. It's a key ingredient to our innovation.
Connected Collaboration
Our strength as a group will outlast our efforts as individual contributors. With offices across countries (and across boroughs) staying inventive and agile deepens our clear vision and consistent communication.
We stay in a spirit of entrepreneurial collaboration: We do not have consensus at all times, but we trust one another to work toward our common goals. Our success is an expression and result of our progressive and gratifying teamwork.
Driven, Together
We value ownership and coaching that encourages employees to think constructively and creatively about the business. We view employees as leaders and individuals who are accountable, resourceful and responsible. Anyone and everyone is encouraged to lead.
We recognize that in order to continue thinking one step ahead, we will need to try new things. We strive to provide an open environment that accepts this truth making space for new ideas to emerge.
Humanity Always
We assume good intentions in every interaction keeping ourselves accountable for the climate we create. We seek to understand our co-workers through this lens of conscious bienveillance, authenticity and fellowship.
We operate with the intention of preserving resources, creating an environment we can all live in--for our business and the world. Sustainable care is essential to our ethos as an organization. We take a mindful approach to how we think about our people (employees) and our planet.
Perks & Benefits

At Prose we value our employees and their well being. As a growing business we aim to stay up to par on the latest perks and benefits for all of our eligible team members. Some of these include but are not limited to:
A competitive and flexible PTO policy
Competitive compensation package (base salary, target bonus and equity)
Company sponsored health care plan ( medical, dental and vision plans)
401k + matching
Monthly fitness reimbursement
Commuter Benefits & Electric Bike Sponsorship
Free lunch in office, weekly and an abundance of office snacks","['$24 - $26', '$14 - $16', '$60K - $65K', '$19 - $21']"
1,People Operations Generalist,"Teachers Pay Teachers
4.9
★","New York, NY",Full-time,Hr Generalist,Information Technology,51 to 200 Employees,"['Software Engineer', 'Senior Software Engineer', 'Software Engineer III', 'Software Engineer()', 'Specialist']","About Us

At Teachers Pay Teachers (TpT), we're unlocking the power of educator-created content. More than 85% of U.S. teachers come to TpT every year to get teacher-tested, engaging, and rigorous materials. What began as a humble exchange for teachers looking to share lesson plans has since exploded into a massive online marketplace where teachers have created 4 million resources for all aspects of PreK-12 education. More than six million educators worldwide (including teachers, administrators, and parents) have downloaded TpT resources more than a billion times. According to Fast Company, in 2019, Teachers Pay Teachers is one of the top 50 Most Innovative Companies in the world! If you haven't heard of TpT yet and want to learn more, just ask a teacher.

The Role

We're looking for a People Operations Generalist to join our team to lead and scale our HR operations across the organization, serving as a trusted resource and strategic partner for our team and the entire company. The People Ops team at TpT is a close-knit, collaborative crew, moving the business forward by fostering a diverse and inclusive environment where everyone can do their best work.

Responsibilities
Scale and iterate on current HR processes, crafting a superior employee experience that supports diversity, equity, and inclusion while also reflecting solid HR compliance and best practices
Plan and execute benefits and compensation to create a compelling, inclusive, and cost-effective package
Own the HRIS (Namely) with respect to data integrity, reporting, payroll administration and ongoing development of the platform
Oversee and manage People Ops processes across the employee lifecycle including onboarding, performance management, compensation, terminations; partner closely with Finance to ensure timely, accurate administration of benefits, compensation, insurance and leave programs.
Navigate complex employee relations issues quickly and with good judgment
Craft policy recommendations and own employee policies, procedures, and the employee handbook in partnership with our legal team
Partner with our legal team to ensure supportive immigration process
Coach managers and senior leaders to provide targeted support and navigate complex situations
Work as part of a team to build an impactful culture that reflects TpT's values, mission, and vision
Qualifications
Bachelor's degree
6+ years experience in an HR-related role
Deep functional HR expertise and knowledge of current HR trends
Demonstrable knowledge of basic HR and Immigration law (FMLA, ADA, visas)
Experience using and maximizing HRIS
Experience with benefits planning and administration
Excellent verbal and written communication skills
Ability to deal with and resolve complex interpersonal situations and questions
Ability to deal with ambiguity and be adaptable as situations require
Extracurriculars
Parental leave for both mothers and fathers to be able to take some quality time in bonding with their new addition to their family
Comprehensive Medical & Dental Benefits
Mother's Room
Quiet Room
Company Events (Bring Your Child to Work Day, Field Day, Camp TpT, Hackathons etc.)
Here at TpT we value Diversity & Inclusion and encourage people to bring their most authentic selves to work. We cultivate an environment where people are recognized and celebrated for their individuality.

Any TpT applicant who requires reasonable accommodations during the interview process should contact the TpT People Ops Team (accommodations@teacherspayteachers.com) to make the need for an accommodation known.

Finally, if you're a California resident, California law requires that we provide you notice about the collection and use of your personal information. We encourage you to read it carefully. You can find our full notice here.","['$129,459', '$148,840', '$141,672', '$8K - $8K', '$82K - $89K']"
2,Counselor,"BetterHelp.com Counselors
4.4
★","New York, NY",Full-time,Counselor,Information Technology,51 to 200 Employees,"['Software Engineer', 'Counselor', 'Therapist', 'Senior Software Engineer', 'Software Developer']","Private practice with no doors and no overhead. *
_Join the world's largest online counseling platform._

We provide the marketing, the technology, and the additional income. You provide the professionalism, clinical experience, and care.
More About BetterHelp: *
· BetterHelp's secure online platform and broad network of licensed mental health therapists help those facing life’s challenges by providing easy, affordable, and private access to professional counseling.

· BetterHelp has facilitated millions of HIPAA-compliant video sessions, voice calls, live chats, and messages that let people get the help they need using their computer, tablet, or smartphone - anytime, anywhere.

· In 2015 we expanded our resources and expertise by joining Teladoc Health (NYSE: TDOC), the nation’s first and world's largest telehealth organization, helping to make BetterHelp the world’s largest and most reputable e-counseling platform for online therapists.
Benefits for Counselors: *
· Counselors Focus on Clinical Work: Your focus is 100% on counseling. You do not need to worry about acquiring clients, billing, support, or operations. We handle it all!

· Reliable Income: BetterHelp can be your major source of income (""full time"") or a supplement to your current work. You choose your caseload size, and you are in control of your schedule and appointment times.

· Work Flexibility: Become an online counselor and work from the comfort of your home on your own schedule.

· Zero Overhead: No fees are collected from the counselor, ever.
Who Should Apply*
· Licensed Professional Counselors (LPC), Licensed Clinical Social Workers (LCSW), Licensed Marriage and Family Therapists (LMFT), Psychologists, and Licensed Mental Health Counselors (LMHC) are all encouraged to apply!

· Counselors looking for an easy, all-in-one technology platform for telehealth (online mental health counseling).

· Counselors looking for a variety of ways to engage - for example, through the 3 types of live sessions available (video, phone, and live chat), through the asynchronous messaging component, through worksheets, through shared journal entries, through audio and video messages, and more.

· Counselors who are looking for a strong and accessible peer community, directly through the platform. With over 8,000 mental health therapists on the BetterHelp platform, you’ll have a forum to ask and answer any questions you might have!
Requirements*
· Counselors must be licensed by a State Board to provide counseling (e.g., LCSW, LMFT, LPC, PsyD or similar credentials).

NOTE: Unfortunately, if you are an intern or if you require supervision to provide counseling services, you cannot be a provider on BetterHelp at this time. Also, we are unable to accept substance abuse counselors, school counselors, registered nurses, career counselors, Christian counselors, and business coaches (unless they have an additional license as a mental health counselor).

· Experience counseling adults, couples, and/or teens

· Excellent written communication

· Reliable Internet connection

· Currently residing in the US

Note: Counselors are independent providers, not BetterHelp employees.

Job Type: Contract

Work Remotely:
Yes","['$124,713', '$24.24/hr', '$25.53/hr', '$144K - $155K', '$79K - $85K']"
3,Warehouse Package Handler,"FedEx Ground PH US
3.4
★","Dover, NJ",Part-time,Package Handler,Transportation & Logistics,10000+ Employees,"['Part Time Package Handler', 'Package Handler', 'Fed Ex Ground Package Handler', 'Operations Coordinator', 'FedEx Package Handler']","FedEx Ground is an essential business that needs people to help us support the economy, handling life-saving medications and other items that keep our communities as prepared as possible during these uncertain times.
FedEx Ground will continue to hire for essential positions like this one.

FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment. Part-time employees typically work a 2-4-hour shift per day. Full-time employees work approximately two shifts per day of varying lengths. Package Handlers are responsible for warehouse duties including: the physical loading, unloading and/or sorting of packages of varying sizes and weights by hand, including lifting, pushing, pulling, carrying, scanning, placing packages, as well as physical bending, twisting, kneeling and etc. in a safe and efficient manner. Shifts may vary depending on warehouse package volume and business needs.

Package Handlers will receive a competitive hourly rate and are eligible for an attractive benefits package including medical, dental, vision, vacation, holiday pay, parental leave and tuition assistance after completion of an eligibility period. Flexible schedules are offered at many of our locations and will be discussed during the hiring process.

Individuals who are interested in starting their journey with FedEx Ground must be at least 18 years of age and will be required to watch a virtual job preview before moving forward with the employment application process.

Reasonable accommodations are available for qualified individuals with disabilities throughout the application process.

Address: 1 Commerce Drive
City: Dover
State: New Jersey
Zip Code: 07801
Domicile Location: P075
Additional Location Information: Now hiring PT Package Handlers for the following shifts:
Monday-Sunday 3:30am-9:00 am - UP TO $14.85 PER HOUR to start-**Includes a pay enhancement of $1 per hour for all Package Handlers
Monday-Sunday 3:30pm-9:00pm - UP TO $13.85 PER HOUR to start-**Includes a pay enhancement of $1 per hour for all Package Handlers (SEASONAL)
Schedule start time and end time may vary based on business needs. Candidates must be flexible to work as needed.
FEDEX Ground
1 Commerce Center Drive, Dover, NJ 07801
Telephone Number: 973-537-3400
ALL APPLICANTS MUST BRING A VALID PHOTO ID FOR THE SECURITY SCREENING PURPOSES

EEO Statement

FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce","['$14.13/hr', '$13.89/hr', '$13.20/hr', '$56,208', '$13.31/hr']"
4,Amazon Order Picker/Packer,"Amazon Workforce Staffing
3.9
★","New York, NY",Part-time,Packer,Information Technology,10000+ Employees,"['Software Development Engineer II', 'Software Development Engineer', 'Software Development Engineer I', 'Warehouse Associate', 'Area Manager']","Seasonal Delivery Warehouse Team Member
Location:
Elizabeth, NJ and Avenel, NJ
Job opportunities vary by location. We update postings daily with open positions.
Hourly pay rate: $15.25 - $16.25

Immediate openings available now.

Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.
Join Amazon and become part of the dedicated team that gets orders ready for people relying on Amazon’s service. Earn a competitive wage while learning new skills. Stay active in this fast-paced warehouse environment.

Depending on your location, you’ll have the option to choose from part-time and full-time roles with early morning, day, and night shifts. Choose the role and shift times that work best for you.

What this job will be like:
Be on the last stop before we deliver customer smiles! Delivery Station Team Members receive trucks full of orders then prepare them for delivery. As part of this team, you'll load conveyor belts and transport and stage deliveries to be picked up by drivers. Plus, you'll get to use the latest Amazon technology, like smartphones and handheld devices, to scan and sort the orders. These duties can rotate throughout the day, making each day a little different.
Reasons you’ll love working here:
Health and safety is the top priority: We continue to consult with medical and health experts, and take all recommended precautions in our buildings to keep people healthy.
Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.
Career development: Many of our entry-level warehouse employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.
Teamwork environment: Work is more fun when you are part of a great team.
Variety every day: Your days will keep you busy with different types of work.

Basic qualifications:
High school or equivalent diploma

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.","['$148,949', '$125,679', '$119,982', '$15.43/hr', '$60,276']"
5,Amazon Order Filler - Earn up to $600 a week!,"Amazon Workforce Staffing
3.9
★","Perrineville, NJ",Part-time,Order Selector,Information Technology,10000+ Employees,"['Software Development Engineer II', 'Software Development Engineer', 'Software Development Engineer I', 'Warehouse Associate', 'Area Manager']","Delivery Warehouse Team Member
Location:
Langhorne, PA and Fairless Hills, PA
Job opportunities vary by location. We update postings daily with open positions.
Hourly pay rate: $15/hr-$16/hr

Immediate openings available now.

Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.
Join Amazon and become part of the dedicated team that gets orders ready for people relying on Amazon’s service. Earn a competitive wage while learning new skills. Stay active in this fast-paced warehouse environment.

Depending on your location, you’ll have the option to choose from part-time and full-time roles with early morning, day, and night shifts. Choose the role and shift times that work best for you.

Candidates must be 18 years or older with the ability to read and speak English for safety purposes.

What this job will be like:
Be on the last stop before we deliver customer smiles! Delivery Station Team Members receive trucks full of orders then prepare them for delivery. As part of this team, you'll load conveyor belts and transport and stage deliveries to be picked up by drivers. Plus, you'll get to use the latest Amazon technology, like smartphones and handheld devices, to scan and sort the orders. These duties can rotate throughout the day, making each day a little different.
Reasons you’ll love working here:
Health and safety is the top priority: We continue to consult with medical and health experts, and take all recommended precautions in our buildings to keep people healthy.
Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.
Career development: Many of our entry-level warehouse employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.
Teamwork environment: Work is more fun when you are part of a great team.
Variety every day: Your days will keep you busy with different types of work.

Basic qualifications:
High school or equivalent diploma
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.","['$148,949', '$125,679', '$119,982', '$15.43/hr', '$60,276']"
6,Warehouse Picker/Packer - Immediate Hire,"Amazon Workforce Staffing
3.9
★","New York, NY",Part-time,Packer,Information Technology,10000+ Employees,"['Software Development Engineer II', 'Software Development Engineer', 'Software Development Engineer I', 'Warehouse Associate', 'Area Manager']","Warehouse Sort Team

Location: Avenel, NJ and Carteret, NJ
Job opportunities vary by location. We update postings daily with open positions.
Hourly pay rate: $15.25 - $18.25
The base pay for this role is $15.25/hr. We are offering temporary shift premiums now through Dec 2020.
• Earn $3/hr more when you select an early morning (4:00am - 8:00am) shift for $18.25/hr pay.

Immediate openings available now.
Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.
Join Amazon and become part of the dedicated team that gets orders ready for customers.
Stay active during your workday in this fast-paced warehouse environment. Learn new skills and build your experience by doing a range of different types of work.
Here are some of the things you’ll get to do:
Sort, scan, stack packages on pallets
Get customer orders ready for delivery
Use technology like scanners, computers, and handheld printers
Part-Time and Full-Time hours are available. This role puts you in control of your schedule. Choose the shifts that work best for you now. You will be able to adjust your schedule in the future, as needed. Shifts are 3-5 hours. Work up to 40 hours each week.
Your schedule will be based on availability and the preferences you selected in your application.

Candidates must be 18 years or older with the ability to read and speak English for safety purposes.

Reasons you’ll love working here:
Health and safety are a top priority with all of our roles and sites. We continue to consult with medical and health experts, and take all recommended precautions in our buildings and stores to keep people healthy.
Career development: Many of our entry-level employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.
Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.
Benefits: Our range of benefits can include health care starting on day one, employee discounts, 401(k) savings plans, paid time off and more! Find out which benefits you'll get after you choose your role with us.
Flexible hours: Choose from available shifts to create a schedule that works for you.
Basic qualifications:
High school, GED, or equivalent diploma
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.","['$148,949', '$125,679', '$119,982', '$15.43/hr', '$60,276']"
7,FT & PT Package Handler - Warehouse,"FedEx Ground PH US
3.4
★","Northampton, PA",Part-time,Package Handler,Transportation & Logistics,10000+ Employees,"['Part Time Package Handler', 'Package Handler', 'Fed Ex Ground Package Handler', 'Operations Coordinator', 'FedEx Package Handler']","FedEx Ground is an essential business that needs people to help us support the economy, handling life-saving medications and other items that keep our communities as prepared as possible during these uncertain times.
FedEx Ground will continue to hire for essential positions like this one.

FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment. Part-time employees typically work a 2-4-hour shift per day. Full-time employees work approximately two shifts per day of varying lengths. Package Handlers are responsible for warehouse duties including: the physical loading, unloading and/or sorting of packages of varying sizes and weights by hand, including lifting, pushing, pulling, carrying, scanning, placing packages, as well as physical bending, twisting, kneeling and etc. in a safe and efficient manner. Shifts may vary depending on warehouse package volume and business needs.

Package Handlers will receive a competitive hourly rate and are eligible for an attractive benefits package including medical, dental, vision, vacation, holiday pay, parental leave and tuition assistance after completion of an eligibility period. Flexible schedules are offered at many of our locations and will be discussed during the hiring process.

Individuals who are interested in starting their journey with FedEx Ground must be at least 18 years of age and will be required to watch a virtual job preview before moving forward with the employment application process.

Reasonable accommodations are available for qualified individuals with disabilities throughout the application process.

Address: 1000 Willowbrook Rd
City: Northampton
State: Pennsylvania
Zip Code: 18067
Domicile Location: P182
Additional Location Information: **STARTING PAY UP TO $24.05!!
$500 sign-on bonus through 12/5/20
$200 Referral bonus being offered
$3 SURGE RATE EFFECTIVE UNTIL JANUARY 1ST
$1 EXTRA FOR FULL-TIMERS
$2 EXTRA ON WEEKENDS STARTING NOVEMBER 2ND
$2 EXTRA FOR OVERNIGHT/EARLY MORNING SHIFTS
GUARANTEED RAISES AFTER 1 MONTH, 6 MONTHS, AND 12 MONTHS
EEO Statement

FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce","['$14.13/hr', '$13.89/hr', '$13.20/hr', '$56,208', '$13.31/hr']"
8,Order Filler - $1000 Sign On Bonus - Immediate Hire!,"Amazon Workforce Staffing
3.9
★","New York, NY",Part-time,Packer,Information Technology,10000+ Employees,"['Software Development Engineer II', 'Software Development Engineer', 'Software Development Engineer I', 'Warehouse Associate', 'Area Manager']","Warehouse Associate - $1000 Sign-On Bonus

Hourly pay rate: $15.00 - $16.00* plus a $1000 bonus**
The base pay for this role is $15.00/hr.
* ""Limited-time Opportunity""
Part-time hours are available. This role puts you in control of your schedule. Choose the shifts that work best for you now. You will be able to adjust your schedule in the future, as needed. Work up to 30 hours each week. Shifts are 3-5 hours. Choose up to 10 shifts each week based on schedule and availability.

Your schedule will be based on availability and the preferences you selected in your application.

Location: Lancaster, NY

Job opportunities vary by location. We update postings daily with open positions.

Shifts:
Overnight, Early Morning, Day, Evening, Weekend

Training is provided, no experience necessary.

It’s no small job to get every order from click to customer door. Our sort centers are the first stop on the journey from the warehouse. You’ll be up on your feet moving and sorting packages between trucks.

Stay active during your workday in this fast-paced warehouse environment. Learn new skills and build your experience by doing a range of different types of work.
Sort, scan, stack packages on pallets
Get customer orders ready for delivery
Use technology like scanners, computers, and handheld printers

Health and safety are always a top priority for us. We continue to consult with medical and health experts, and take all recommended precautions in our buildings and stores to keep everyone healthy. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.

Reasons you’ll love working at Amazon:
$1000 sign-on bonus
Paid time off
401(k) savings plan
Holiday pay opportunities
On-the-job training and skill development
Employee Assistance Program

Check out what some of our employees have to say about their jobs:
https://www.amazondelivers.jobs/about/culture/

Candidates must be 18 years or older with the ability to understand and adhere to all safety guidelines and regulations.
Basic qualifications:
• High school, GED, or equivalent diploma
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.","['$148,949', '$125,679', '$119,982', '$15.43/hr', '$60,276']"
9,Accounting/Billing Specialist,Stone Tech Fabrication,"Trenton, NJ",Full-time,Billing Specialist,N/A,Unknown,['Billing Specialist'],"Stone-Tech Fabrications, Inc. has a great opportunity for a motivated, hardworking reliable Accounting / Billing Specialist. Must be able to work in a fast-paced environment and able to multi-task. Accuracy and attention to detail is a must. Responsibilities include but are not limited to:
Major Responsibilities:
Maintains financial records / Must be able to work on Quick books
Prepare and file insurance related materials
Perform financial tasks / Billing on Commercial and Residential Projects / Communicate with customers on outstanding balances
Prepare and submit AIA Billing on various on-going projects
Cross–functional office team member / Co ordination with Project Manager and Sales Team
Report to Project Executive and Owners
Ability to be full charge bookkeeper
Maintain client files on insurance claims and payment
Maintain state license and liability insurance files
Send statements on outstanding accounts / Prepare payroll documents for payroll administrator
Prepare and send accounts payable checks / Prepare and make bank deposits
Record accounts payable and accounts receivable
Desired Experience and Qualifications:
An associate degree from a college or university with a major in accounting or comparable training and/or experience
2-3 years of office and financial experience
Knowledge of bookkeeping principles, methods, and practices
Ability to prepare clear and concise reports
Demonstration of skills in MS Office (Word, Excel, PowerPoint, Access, Outlook)
10.Proficiency with accounting and billing software (i.e., Quick Books)
11.Ability to manage a wide variety of activities and functions simultaneously

Job Type: Full-time

Salary: $45,000.00- $60,000.00

Hours: 40-45 per Week

Please reply with your complete resume and references. We will respond as quickly as possible.",['$15.41/hr']
